state,district,season,crop,mean_yield,median_yield,max_yield,min_yield,yield_std,mean_area,years_cultivated,yield_cv,yield_score,cv_scaled,stability_score,experience_score,historical_score
Haryana,SIRSA,Kharif     ,Moth,0.30735434878495155,0.2408353330607017,1.0,0.1013787510137875,0.22396682982777855,1170.625,16,0.7286925684089889,1.2747556219194964e-05,0.1942329590358966,0.8057670409641033,0.6818181818181819,0.378100122430977
Haryana,SIRSA,Kharif     ,Other Kharif pulses,0.48,0.48,0.48,0.48,0.0,2500.0,1,0.0,2.555114848513723e-05,0.0,1.0,0.0,0.30001277557424255
Haryana,SIRSA,Kharif     ,Peas & beans (Pulses),9.847302642436627,8.268733850129198,16.282222222222224,5.013513513513513,4.305439375536534,367.7142857142857,7,0.4372201740791823,0.0004425181434899117,0.11654101035640783,0.8834589896435922,0.2727272727272727,0.3198044105102772
Haryana,SIRSA,Kharif     ,Rice,3.1968199570137723,3.323883077524685,3.927536231884058,0.321803367046067,0.7231194817531369,61222.95652173913,23,0.22619962696573645,0.00017779738051689782,0.06029349657606445,0.9397065034239356,1.0,0.4820008497174391
Haryana,SIRSA,Kharif     ,Sesamum,0.6378454033706594,0.5681818181818182,1.0,0.4098360655737705,0.18016091508640225,596.0588235294117,17,0.2824523217292963,3.0271929609365812e-05,0.07528764888576232,0.9247123511142377,0.7272727272727273,0.42288338675362147
Haryana,SIRSA,Rabi       ,Barley,3.390385116438822,3.6067325674592574,4.2,2.0104992739863734,0.6141101121178747,6390.086956521739,23,0.18113284804733953,0.0001929396236755462,0.04828094944298624,0.9517190505570138,1.0,0.4856121849789419
Haryana,SIRSA,Rabi       ,Gram,1.013392234798323,1.0,1.7058823529411764,0.531575590048905,0.28723898482113563,11189.217391304348,23,0.28344304895754363,5.338915676409339e-05,0.07555172716716989,0.9244482728328302,1.0,0.4773611764282311
Haryana,SIRSA,Rabi       ,Masoor,1.2409658899020601,0.9285714285714286,2.127659574468085,0.6666666666666666,0.7789851049693137,22.333333333333332,3,0.6277248321714894,4.956525452797304e-05,0.16732001518718378,0.8326799848128162,0.0909090909090909,0.268010596252927
Haryana,SIRSA,Rabi       ,Peas & beans (Pulses),0.95,1.0,1.2,0.6,0.2516611478423583,96.75,4,0.26490647141300877,5.338915676409339e-05,0.07061080356926025,0.9293891964307397,0.13636363636363635,0.30611618078033126
Haryana,SIRSA,Rabi       ,Rapeseed &Mustard,1.5217560634395964,1.5151965299028491,2.119584055459272,0.9990926607468728,0.32333617625166,52797.380952380954,21,0.21247569437694855,8.09700130424107e-05,0.056635383193421415,0.9433646168065786,0.9090909090909092,0.46486805186667657
Haryana,SIRSA,Rabi       ,Wheat,4.539354037661852,4.5805842084069015,5.356909979167573,3.4325353319911494,0.5334501802522583,269481.82608695654,23,0.11751676027610085,0.0002450744122201146,0.03132408518255668,0.9686759148174433,1.0,0.49072531165134303
Haryana,SIRSA,Rabi       ,other oilseeds,2.0,2.0,2.0,2.0,0.0,300.0,1,0.0,0.00010692378806977832,0.0,1.0,0.0,0.30005346189403487
Haryana,SIRSA,Whole Year ,Coriander,2.798152052519064,1.1111111111111112,6.875,0.1538461538461538,2.5980588001446154,55.857142857142854,7,0.928490929506739,5.933744913139172e-05,0.2474891998279083,0.7525108001720917,0.2727272727272727,0.28032836332164773
Haryana,SIRSA,Whole Year ,Cotton(lint),1.751111111111111,1.751111111111111,1.751111111111111,1.751111111111111,0.0,225000.0,1,0.0,9.359961316703007e-05,0.0,1.0,0.0,0.3000467998065835
Haryana,SIRSA,Whole Year ,Dry chillies,5.141727340984766,6.25,9.375,0.99009900990099,3.5896632446181407,48.0,7,0.6981434460759703,0.0003344459711189393,0.18609009236765656,0.8139099076323435,0.2727272727272727,0.298885649820717
Haryana,SIRSA,Whole Year ,Garlic,7.085660179305985,6.666666666666667,12.790697674418604,0.91324200913242,3.5522869133812227,134.66666666666666,15,0.501334642572311,0.000356752067496308,0.13363071796742967,0.8663692820325704,0.6363636363636365,0.3873618879162465
Haryana,SIRSA,Whole Year ,Guar seed,0.6999948941819203,0.6999948941819203,0.6999948941819203,0.6999948941819203,0.0,78342.0,1,0.0,3.7328494034299505e-05,0.0,1.0,0.0,0.3000186642470171
Haryana,SIRSA,Whole Year ,Onion,23.686388966879566,23.657096774193548,33.333333333333336,16.666666666666668,4.629903970539133,216.28571428571428,14,0.1954668555436238,0.0012663284790277681,0.05210167825448605,0.9478983217455139,0.5909090909090909,0.4031844789449862
Haryana,SIRSA,Whole Year ,Potato,22.34428552854727,23.17791666666667,44.31746031746032,10.75268817204301,7.596214115645657,297.8,20,0.33996227384136596,0.0012406757486422982,0.09061692306393741,0.9093830769360626,0.8636363636363638,0.44616253368241265
Haryana,SIRSA,Whole Year ,Sugarcane,70.91468852246025,78.0,85.1063829787234,44.51038575667656,15.614488684799351,1470.5714285714287,7,0.22018694589420493,0.004175555767301832,0.0586908168083641,0.9413091831916359,0.2727272727272727,0.3390259873865963
Haryana,SIRSA,Whole Year ,Turmeric,0.5,0.5,0.5,0.5,0.0,2.0,1,0.0,2.662184111125093e-05,0.0,1.0,0.0,0.3000133109205556
Haryana,SONIPAT,Kharif     ,Arhar/Tur,1.1848989696217103,1.1785714285714286,1.6256938937351308,0.12,0.29042973279390266,2897.318181818182,22,0.24510927955876693,6.294891235439427e-05,0.06533386330507392,0.934666136694926,0.9545454545454546,0.4713404063737459
Haryana,SONIPAT,Kharif     ,Bajra,1.7912885461200172,1.8043756108563267,2.567164179104477,1.0361160449970397,0.383331951038277,7758.695652173913,23,0.21399787983269647,9.645110852257194e-05,0.05704112163249574,0.9429588783675042,1.0,0.4829358890645125
